number species area conage seedflightrate seedtravelbreeze seeddescent distanceratio seedprodfactor germinationrate germinationweatherinfluence gdbasalfacq gdbasalfac gdbasalconst gdbreastfacq gdbreastfac gdbreastconst dbasalheightalloslope dbasalheightalloexp dbreastheightalloslope dbreastheightalloexp dbasalheightslopenonlin dbreastheightslopenonlin heightloga heightlogb heightlogc mortbg maximumage mortage mortyouth mortyouthinfluenceexp mgrowth mdensity densityvaluemaximumatheight mweather heightweathermorteinflussexp mwindthrow mdrought seedconemort seedfloormort seedmaxage janthresholdtemp janthresholdtempcalcvalue weathervariablea weathervariableb weathervariablec weathervariabled minactivelayer minsoilwater maxsoilwater rootingdepth relbarkthickness resprouting biomassleafbase biomassleaffaca biomassleaffacb biomasswoodbase biomasswoodfaca biomasswoodfacb lightdemand spg
32 LASP 1 15 0.8 500.5953613 0.138723707 0.16 16 0.01 0.45 -0.00174 -0.0114 -2.16 -0.00174 -0.0114 -2.16 42.88 1 42.88 1 44.43163 7.02 10.849776 3.960942 2.295403 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -19.5 6.6 1 24.28820251 0 1 130 3 46.7 0 2 0.01 0 0 0 -2.1447 2.3483 0 1 0.6
33 PIAS 1 30 0.8 1288.70703 0.096996445 0.16 16 0.01 0.45 -0.002650535 -0.032454317 -2.391713763 -0.002650535 -0.032454317 -2.391713763 42.88 1 42.88 1 44.43163 7.02 6.8552861 4.2408765 0.1187938 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 5 -19.5 6.6 1 20.53499985 0 1 150 1.2 55.4 0 1 0 -2.994 1.949 0 -2.999 2.399 0 3 0.6
34 PIBR 1 30 0.8 424.7690308 0.19618505 0.16 16 0.01 0.45 -0.002650535 -0.032454317 -2.391713763 -0.002650535 -0.032454317 -2.391713763 42.88 1 42.88 1 44.43163 7.02 6.8552861 4.2408765 0.1187938 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 5 -16.58000031 6.6 1 21.83408018 0 1 150 2.3 41.6 0 1 0 -2.994 1.949 0 -2.999 2.399 0 3 0.6
35 PICR 1 30 0.8 366.1118624 0.17450647 0.16 16 0.01 0.45 -0.002650535 -0.032454317 -2.391713763 -0.002650535 -0.032454317 -2.391713763 42.88 1 42.88 1 44.43163 7.02 6.8552861 4.2408765 0.1187938 0.0001 450 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -25.37497952 6.6 1 23.8199996 0 1 150 2.2 56.6 0 1 0 -2.994 1.949 0 -2.999 2.399 0 3 0.6
36 PILI 1 30 0.8 677.204597 0.205091474 0.16 16 0.01 0.45 -0.002650535 -0.032454317 -2.391713763 -0.002650535 -0.032454317 -2.391713763 42.88 1 42.88 1 44.43163 7.02 6.8552861 4.2408765 0.1187938 0.0001 400 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -19.78300072 6.6 1 24.28820251 0 1 150 2.1 58.6 0 1 0 -2.994 1.949 0 -2.999 2.399 0 3 0.6
37 PIPU 1 30 0.8 530.9629897 0.261579228 0.16 16 0.01 0.45 -0.002650535 -0.032454317 -2.391713763 -0.002650535 -0.032454317 -2.391713763 42.88 1 42.88 1 44.43163 7.02 6.8552861 4.2408765 0.1187938 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 3 -17.86000032 6.6 1 17.72500038 0 1 150 2.3 55.9 0 1 0 -2.994 1.949 0 -2.999 2.399 0 3 0.6
38 PCSC 1 30 0.8 789.7509904 0.140691322 0.16 16 0.01 0.45 0.000674 -0.0141 -2.42 0.000674 -0.0141 -2.42 42.88 1 42.88 1 44.43163 7.02 6.8552861 4.2408765 0.1187938 0.0001 300 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 5 -18.74999952 6.6 1 22.65198067 0 1 150 1.6 30.7 150 1 0 -2.994 1.949 0 -2.999 2.399 0 3 0.6
39 PISM 1 30 0.8 973.264777 0.171244938 0.16 16 0.01 0.45 -0.002650535 -0.032454317 -2.391713763 -0.002650535 -0.032454317 -2.391713763 42.88 1 42.88 1 44.43163 7.02 6.8552861 4.2408765 0.1187938 0.0001 400 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -15.81999965 6.6 1 29.37500029 0 1 140 2.1 58.6 140 1 0 -2.994 1.949 0 -2.999 2.399 0 3 0.6
40 PCSP 1 30 0.8 770.0069686 0.216448258 0.16 16 0.01 0.45 0.000495411 -0.035441804 -2.093128355 0.000495411 -0.035441804 -2.093128355 42.88 1 42.88 1 44.43163 7.02 6.8552861 4.2408765 0.1187938 0.0001 300 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 3 -19.78300072 6.6 1 24.28820251 0 1 150 2.1 58.6 0 2 0.01 -2.994 1.949 0 -2.999 2.399 0 3 0.6
41 PIWI 1 30 0.8 817.5655025 0.169881054 0.16 16 0.01 0.45 -0.002650535 -0.032454317 -2.391713763 -0.002650535 -0.032454317 -2.391713763 42.88 1 42.88 1 44.43163 7.02 6.8552861 4.2408765 0.1187938 0.0001 164 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -16.58000031 6.6 1 20.7010004 0 1 150 1.8 39.3 0 1 0 -2.994 1.949 0 -2.999 2.399 0 3 0.6
42 PIAR 1 20 0.8 162.2323763 0.599277558 0.16 16 0.01 0.45 -0.00351 -0.0411 -2.21 -0.00351 -0.0411 -2.21 42.88 1 42.88 1 44.43163 7.02 9.267817 2.349198 2.694016 0.0001 150 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 10 -19.78300072 6.6 1 24.28820251 0 1 130 1 66.5 0 1 0 -4.482 2.254 0 -2.136 2.535 0 1 0.6
43 PIBH 1 25 0.8 338.6022985 0.205091474 0.16 16 0.01 0.45 0.0000139 -0.00748 -0.118 0.0000139 -0.00748 -0.118 42.88 1 42.88 1 44.43163 7.02 9.267817 2.349198 2.694016 0.0001 150 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 10 -3.43666728 6.6 1 21.71191225 0 1 130 3.2 9 0 1 0 -4.482 2.254 0 -2.136 2.535 0 1 0.6
44 PIRO 1 20 0.8 411.3271386 0.337660407 0.16 16 0.01 0.45 -0.002492501 -0.023006342 -1.927014065 -0.002492501 -0.023006342 -1.927014065 42.88 1 42.88 1 44.43163 7.02 9.267817 2.349198 2.694016 0.0001 150 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 10 3.609999919 6.6 1 31.68659372 0 1 130 1 66.5 0 3 0.01 -4.482 2.254 0 -2.136 2.535 0 1 0.6
45 PISY 1 20 0.8 205.6635693 0.337660407 0.16 16 0.01 0.45 0.0000139 -0.00748 -0.118 0.0000139 -0.00748 -0.118 42.88 1 42.88 1 44.43163 7.02 9.267817 2.349198 2.694016 0.0001 130 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 1 -30.249996 6.6 1 32.39200096 0 1 200 1.9 65.3 200 3 0 -4.482 2.254 0 -2.136 2.535 0 2 0.6
46 PITA 1 25 0.8 148.3348836 0.468159901 0.16 16 0.01 0.45 -0.00883 -0.0413 -1.65 -0.00883 -0.0413 -1.65 42.88 1 42.88 1 44.43163 7.02 9.267817 2.349198 2.694016 0.0001 300 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 10 -14.96499987 6.6 1 30.07999992 0 1 100 1 66.5 100 2 0.01 -4.482 2.254 0 -2.136 2.535 0 1 0.6
47 PIWA 1 20 0.8 845.3888449 0.230005926 0.16 16 0.01 0.45 -0.002094899 -0.030862598 -1.732495807 -0.002094899 -0.030862598 -1.732495807 42.88 1 42.88 1 44.43163 7.02 9.267817 2.349198 2.694016 0.0001 250 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 15 -18.08799934 6.6 1 28.90927996 0 1 130 2.9 15.4 130 3 0 -4.482 2.254 0 -2.136 2.535 0 2 0.6
48 PIYU 1 20 0.8 397.3347726 0.209730784 0.16 16 0.01 0.45 0.0000139 -0.00748 -0.118 0.0000139 -0.00748 -0.118 42.88 1 42.88 1 44.43163 7.02 9.267817 2.349198 2.694016 0.0001 240 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 10 -8.291654587 6.6 1 28.59003078 0 1 130 1 66.5 0 3 0.01 -4.591 2.183 0 -3.017 2.398 0 1 0.6
49 TSCH 1 10 0.8 989.1689667 0.140409671 0.16 16 0.01 0.45 0.000298 -0.0338 -2.16 0.000298 -0.0338 -2.16 42.88 1 42.88 1 44.43163 7.02 9.090484 4.45948 1.041787 0.0001 410 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 10 -17.94091327 6.6 1 33.20549268 0 1 100 1.8 72.3 0 1 0 0 0 0 -2.1447 2.3483 0 3 0.6
50 TSDU 1 10 0.8 791.3351734 0.140409671 0.16 16 0.01 0.45 0.000298 -0.0338 -2.16 0.000298 -0.0338 -2.16 42.88 1 42.88 1 44.43163 7.02 9.090484 4.45948 1.041787 0.0001 350 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 10 -17.94091327 6.6 1 33.20549268 0 1 100 1.8 72.3 0 1 0 0 0 0 -2.1447 2.3483 0 3 0.6
