;Y;X;Hoehe;Dbasal;Dbrust;Cones;Alter;;;;;;;;;;;
338;76.6;36;600;11.14;7.32;1;140;;;;;;;;;;;
339;76.6;52;600;11.14;7.32;1;140;;;;;;;;;;;
340;76.6;68;600;11.14;7.32;1;140;;;;;;;;;;;
341;76.6;84;600;11.14;7.32;1;140;;;;;;;;;;;
342;46.6;4;600;11.14;7.32;1;140;;;;;;;;;;;
343;46.6;20;600;11.14;7.32;1;140;;;;;;;;;;;
344;46.6;36;600;11.14;7.32;1;140;;;;;;;;;;;
345;46.6;52;600;11.14;7.32;1;140;;;;;;;;;;;
346;46.6;68;600;11.14;7.32;1;140;;;;;;;;;;;
347;46.6;84;600;11.14;7.32;1;140;;;;;;;;;;;
348;16.6;4;600;11.14;7.32;1;140;;;;;;;;;;;
349;16.6;20;600;11.14;7.32;1;140;;;;;;;;;;;
350;16.6;36;600;11.14;7.32;1;140;;;;;;;;;;;
351;16.6;52;600;11.14;7.32;1;140;;;;;;;;;;;
352;16.6;68;600;11.14;7.32;1;140;;;;;;;;;;;
353;16.6;84;600;11.14;7.32;1;140;;;;;;;;;;;
354;76.6;4.4;400;10.82;7.64;1;143;;;;;;;;;;;
355;76.6;20.4;400;10.82;7.64;1;143;;;;;;;;;;;
356;76.6;36.4;400;10.82;7.64;1;143;;;;;;;;;;;
357;76.6;52.4;400;10.82;7.64;1;143;;;;;;;;;;;
358;76.6;68.4;400;10.82;7.64;1;143;;;;;;;;;;;
359;76.6;84.4;400;10.82;7.64;1;143;;;;;;;;;;;
360;46.6;4.4;400;10.82;7.64;1;143;;;;;;;;;;;
361;46.6;20.4;400;10.82;7.64;1;143;;;;;;;;;;;
362;46.6;36.4;400;10.82;7.64;1;143;;;;;;;;;;;
363;46.6;52.4;400;10.82;7.64;1;143;;;;;;;;;;;
364;46.6;68.4;400;10.82;7.64;1;143;;;;;;;;;;;
365;46.6;84.4;400;10.82;7.64;1;143;;;;;;;;;;;
366;16.6;4.4;400;10.82;7.64;1;143;;;;;;;;;;;
367;16.6;20.4;400;10.82;7.64;1;143;;;;;;;;;;;
368;16.6;36.4;400;10.82;7.64;1;143;;;;;;;;;;;
369;16.6;52.4;400;10.82;7.64;1;143;;;;;;;;;;;
370;16.6;68.4;400;10.82;7.64;1;143;;;;;;;;;;;
371;16.6;84.4;400;10.82;7.64;1;143;;;;;;;;;;;
372;79.8;0;650;12.73;8.28;1;148;;;;;;;;;;;
373;79.8;16;650;12.73;8.28;1;148;;;;;;;;;;;
374;79.8;32;650;12.73;8.28;1;148;;;;;;;;;;;
375;79.8;48;650;12.73;8.28;1;148;;;;;;;;;;;
