Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
16.88 15.71 7.51 11.57 24.03 41.3 26.78 88.26 41.94 27.72 13.47 14
13.38 20.31 14.81 13.57 11.93 39.9 20.88 26.86 45.34 23.12 25.77 26.2
11.68 11.41 9.41 9.57 10.23 99.9 45.28 82.36 49.24 27.52 21.07 34.5
14.08 12.51 25.51 15.27 30.43 36.6 74.48 21.76 51.54 43.32 19.57 8.7
27.18 21.21 17.61 22.07 25.53 39.1 37.28 35.76 36.14 33.52 14.77 13.9
14.18 25.11 18.71 16.07 20.03 26.7 81.48 40.86 30.54 36.92 38.77 21.2
15.28 35.31 25.81 12.17 34.63 103.1 40.68 45.76 41.74 46.62 14.27 30.6
24.08 6.61 14.71 12.37 16.03 66.5 37.18 37.16 41.44 28.12 11.77 19.7
17.18 13.41 10.11 16.87 36.23 64.3 76.18 39.26 53.14 32.22 27.17 31.6
19.68 18.81 14.41 19.57 14.53 27.2 23.48 62.96 46.34 27.62 38.37 25.6
10.28 11.41 21.51 19.87 13.53 40.7 73.18 60.66 33.64 39.52 10.87 38.4
12.98 16.71 9.81 14.27 16.03 49.2 40.48 32.06 37.14 18.42 25.17 28.1
10.58 4.91 11.11 10.17 21.13 47.7 87.18 43.76 52.14 40.12 26.47 17.7
17.38 13.61 5.11 21.37 11.93 24.9 27.88 71.16 26.14 34.72 35.77 33
34.18 19.41 9.71 6.47 29.13 21.5 14.88 65.86 38.94 30.62 25.57 13.1
18.48 26.21 25.31 15.47 10.83 28.3 28.98 82.86 26.74 48.92 33.97 13.9
13.18 10.61 18.51 17.77 14.13 32.5 43.48 61.56 55.34 20.72 48.07 13.3
11.38 12.51 9.61 18.27 30.13 39.3 46.58 26.86 42.34 31.02 20.67 25
16.08 15.61 10.31 16.47 22.53 49.2 66.18 28.46 37.94 27.62 18.67 19
21.08 18.71 11.11 14.87 15.23 59.5 86.18 30.66 33.94 24.62 16.87 13.2
23.98 30.91 20.71 8.07 35.53 20.1 79.08 63.76 27.74 23.32 29.17 12.8
8.28 6.71 7.21 18.07 21.13 44.1 28.08 61.86 28.84 30.02 17.67 17.5
6.98 12.61 16.01 12.27 13.23 15.3 93.58 54.56 43.24 21.72 15.17 12.4
10.88 19.81 8.41 8.67 11.33 51.2 55.38 91.76 55.64 45.52 36.27 16.2
17.18 8.51 10.01 13.57 20.33 99.5 37.68 16.86 24.04 41.42 20.77 8.6
6.98 11.71 6.81 18.47 6.73 24.8 40.48 27.66 36.14 20.02 28.37 32.7
5.48 15.41 12.61 20.97 26.33 13.1 65.68 26.66 62.04 24.12 29.07 17.6
13.18 7.61 11.41 27.47 21.63 15 31.48 59.76 17.64 67.22 28.97 44.3
21.08 9.81 8.31 14.67 10.83 30.9 56.68 64.46 45.04 30.52 21.67 18.7
16.18 9.71 15.71 13.47 17.33 25 39.28 53.46 27.84 39.72 19.47 15.1
19.98 27.01 9.81 4.07 33.53 15.1 55.78 67.46 55.74 34.02 43.57 17.2
26.58 10.61 11.01 10.37 41.93 23.2 65.58 96.46 32.34 36.92 26.97 15
32.98 16.71 13.31 10.87 16.73 54.1 41.18 45.46 33.04 38.02 26.77 32.6
22.68 11.71 18.91 19.77 13.33 22.5 62.48 50.26 57.44 21.92 27.67 10.9
41.38 8.11 6.61 10.57 20.23 72.8 48.88 59.06 39.24 50.32 37.67 18.6
40.48 19.31 21.61 14.27 11.63 35 73.48 51.16 23.54 36.12 20.77 20.4
