Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-35.1 -34.7 -25 -19.4 -5.9 5.3 14.2 14.1 3.2 -14.1 -20.4 -26.2
-34 -36.1 -25.6 -20 -9.3 3.4 14.3 6.9 1.6 -14.2 -23.9 -26.6
-35.4 -39.5 -28.9 -19.2 -6.7 6 16.6 9.9 -0.1 -13.2 -20.7 -28.3
-32.2 -28.5 -20.1 -12.8 -8.9 3.5 12.2 7.9 1 -12.9 -35.1 -37.1
-36 -32.1 -26.3 -13.5 -7.3 5.6 16.8 8.4 1.7 -4.2 -17.8 -22
-40 -40.8 -34.6 -20.5 -7.6 3.2 12 9 0.9 -15.9 -28.9 -21.2
-36.1 -37 -25.3 -17 -8.7 0 15.1 11 2 -13.1 -31.1 -28.7
-34.6 -20.3 -32.1 -20.7 -9.5 2.4 13.6 10 4.4 -11.3 -22.4 -27.8
-30.2 -29.8 -27.7 -20.3 -9.1 5.1 12.5 9.5 -0.4 -11.4 -22.4 -33.3
-29.4 -30.2 -25.7 -15.5 -8.9 3.5 13.2 10.9 2.1 -11.1 -28 -36.6
-40.8 -35.1 -20.2 -18 -8.1 2.7 11.1 8.1 2.8 -12.5 -25.3 -34.5
-35.3 -39 -31.9 -19.4 -5.9 9 11.4 7.7 1.2 -14.9 -28.4 -23.4
-36.9 -28 -21.6 -19 -8.4 10.6 14.8 12.7 2.6 -12.1 -25.7 -31.8
-32.1 -36.6 -31.6 -21.1 -8.4 1.8 15.4 5.8 -1.4 -16.9 -34.1 -38.6
-33.7 -35.1 -27.4 -21.1 -4.8 9.4 13.4 10.8 -4 -20.2 -33.6 -35.3
-32.3 -33.3 -26.9 -18.9 -4.2 9 14.3 10.8 0 -16 -29.8 -27.4
-31.3 -31.9 -26.9 -17.2 -4.1 8.2 14.7 10.3 3.4 -12.3 -26.6 -20.1
-38.7 -30.6 -21.8 -15 -6.4 6.4 10.5 10.6 2.4 -18.3 -34.3 -33.1
-34.1 -27.7 -21.9 -19.1 -7 4.5 13.3 11.1 1.7 -13 -30 -33.5
-36.8 -32.4 -29.4 -14.3 -9.9 5.6 12.7 8.7 -0.7 -11.8 -31 -32.5
-34.6 -34.2 -24.5 -18.9 -5.4 5.8 14.7 14.6 3.7 -13.6 -19.9 -25.7
-33.5 -35.6 -25.1 -19.5 -8.8 3.9 14.8 7.4 2.1 -13.7 -23.4 -26.1
-34.9 -39 -28.4 -18.7 -6.2 6.5 17.1 10.4 0.4 -12.7 -20.2 -27.8
-31.7 -28 -19.6 -12.3 -8.4 4 12.7 8.4 1.5 -12.4 -34.6 -36.6
-35.5 -31.6 -25.8 -13 -6.8 6.1 17.3 8.9 2.2 -3.7 -17.3 -21.5
-39.5 -40.3 -34.1 -20 -7.1 3.7 12.5 9.5 1.4 -15.4 -28.4 -20.7
