220.75 222.26 222.26 221.43 220.42 220.42 221.22 220.9 220.9 223.9 221.24 221.24 216.92 207.53 207.53 206.69 206.72 206.72 206.42 205.53 9999 206.06 205.99 205.99 206.85 207.7 208.08 208.08 207.43 206.81 206.81 207.54 207.44 207.44 206.27 9999 9999 208.21 214.14 214.14 213.11 210.46 210.46 205.9 206.5 206.5 209.09 209.66 209.66 209.22 208.03 207.21 207.21 207.33 209.13 209.13 213.75 217.64 217.64 219.98 223.87 223.87 221.71 212.86 212.86 210.07
218.76 218.33 218.33 219.96 220.07 220.07 220.49 220.37 220.37 218.42 215.15 215.15 209.38 207.99 207.99 206.65 206.81 206.81 206.67 205.91 205.91 9999 206.44 206.44 206.01 207.83 207.64 207.64 208.08 208.91 208.91 213.74 216.85 216.85 208.87 209.15 209.15 217.81 216.25 216.25 210.96 208.11 208.11 206.15 9999 9999 207.82 207.95 207.95 209.21 207.9 207.46 207.46 208.69 215.56 215.56 218.4 223.16 223.16 222.94 222.46 222.46 218.41 209.58 209.58 9999
215.93 216.12 216.12 219.02 221.15 221.15 218.25 213.03 213.03 209.07 207.56 207.56 206.93 207.66 207.66 208.05 207.38 207.38 207.08 206.39 206.39 206.44 205.75 205.75 206.07 207.96 207.63 207.63 207.93 210.55 210.55 219.17 216.85 216.85 208.87 209.15 209.15 217.81 216.25 216.25 210.96 208.11 208.11 9999 9999 9999 206.83 206.9 206.9 208.21 207.54 208.1 208.1 211.63 221.86 221.86 222.26 223.78 223.78 224.26 223.25 223.25 219.63 210.83 210.83 209.92
213.3 216.21 216.21 217.49 217.93 217.93 213.03 208.08 208.08 206.46 206.41 206.41 206.64 207.67 207.67 208.21 208.09 208.09 207.99 206.39 206.39 206.44 205.75 205.75 206.07 207.96 207.63 207.63 207.93 210.55 210.55 219.17 221.93 221.93 218.76 218.71 218.71 222.06 218.33 218.33 210.7 207.84 207.84 9999 9999 9999 9999 207.31 207.31 207.66 206.7 9999 206.48 211.52 222.51 222.51 223.72 224.72 224.72 226.24 222.53 222.53 219.89 210.83 210.83 209.92
211.39 213.24 213.24 213.6 211.21 211.21 208.94 207.78 207.78 206.4 206.37 206.37 206.61 207.96 207.96 208.56 209.82 209.82 209.1 207.86 207.86 208.11 207.12 207.12 206.49 207.38 208.29 208.29 213.94 220.18 220.18 222.56 225.34 225.34 225.54 223.95 223.95 222.73 222.26 222.26 211.59 208.05 208.05 206.54 207 207 206.59 208.34 208.34 208.4 207.37 9999 9999 211.04 224.3 224.3 224.61 225.6 225.6 226.99 223.4 223.4 221.58 214.22 214.22 211.45
211.84 207.89 207.89 208.76 207.61 207.61 207.92 207.71 207.71 207.01 206.45 206.45 207.09 208.27 208.27 208.89 209.73 209.73 209.28 208.37 208.37 208.48 206.48 206.48 205.39 207.38 208.29 208.29 213.94 220.18 220.18 222.56 225.34 225.34 225.54 223.95 223.95 222.73 221.78 221.78 216.54 212.98 212.98 211.28 210.12 210.12 208.94 210.56 210.56 209.57 207.63 9999 205.92 212.1 225.29 225.29 225.37 226.65 226.65 226.7 225.92 225.92 223.97 215.91 215.91 213.5
207.32 206.96 206.96 207.51 207.34 207.34 207.22 207.32 207.32 207.41 207.11 207.11 206.51 208.27 208.27 208.89 209.73 209.73 209.28 208.37 208.37 208.48 206.48 9999 205.39 207.26 209.05 209.05 215.35 220.11 220.11 223.35 224.19 224.19 224.28 223.15 223.15 221.61 220.59 220.59 218.67 218.23 218.23 218.99 216.38 216.38 211.75 211.05 211.05 209.9 209.4 210.87 210.87 217.13 225.89 225.89 225.37 226.65 226.65 226.7 225.92 225.92 223.97 215.91 215.91 213.5
206.66 9999 206.32 207.66 207.62 207.62 207.14 207.62 207.62 207.33 206.49 206.49 206.32 206.26 206.26 206.68 207.97 207.97 207.47 210.51 210.51 206.98 9999 206.44 207.44 209.64 210.68 210.68 211.77 217.32 217.32 221.1 221.36 221.36 223.36 222 222 223.14 222.64 222.64 220.26 221.63 221.63 223.51 223.6 223.6 217.07 210.97 210.97 211.1 215.73 219.73 219.73 221.73 227.34 227.34 227.66 226.96 226.96 227.43 227.94 227.94 227.46 224.07 224.07 221.18
9999 205.95 205.95 206.31 206.82 206.82 206.99 207.08 207.08 206.84 206.45 206.45 205.75 205.37 205.37 205.47 206.02 206.02 205.84 210.51 210.51 206.98 206.44 206.44 207.44 209.64 210.68 210.68 211.77 217.32 217.32 220.7 221.5 221.5 222.71 223.6 223.6 225.7 224.8 224.8 222.04 224.17 224.17 226.1 226.62 226.62 221.29 218.01 218.01 217.7 221.04 224.86 224.86 224.62 227.41 227.41 227.94 226.72 226.72 228.38 224.97 224.97 227.46 224.07 224.07 221.18
206.25 206.77 206.77 206.93 205.88 205.88 206.99 207.08 207.08 206.84 206.45 206.45 9999 9999 9999 9999 9999 206.02 205.84 209.05 209.05 210.5 209.16 209.16 209.23 209.99 210.47 210.47 211 214.93 214.93 222.73 221.85 221.85 226.15 225.81 225.81 224.9 225.32 225.32 225.99 227.63 227.63 227.55 227.13 227.13 225.61 222.89 222.89 223.79 221.04 224.86 224.86 224.62 227.41 227.41 227.94 226.72 226.72 228.38 224.97 224.97 226.43 225.33 225.33 221.24
